Dates,GOAULNAM Index,GOAULNPM Index
3/20/2015,1171.75,1183.1
3/23/2015,1181.4,1186.25
3/24/2015,1193.25,1191.5
3/25/2015,1192.55,1195.6
3/26/2015,1209.4,1203.15
3/27/2015,1198,1195.75
3/30/2015,1187.4,1185.5
3/31/2015,1179.25,1187
4/1/2015,1181.25,1197
4/2/2015,1201.5,1198.5
4/3/2015,1201.5,1198.5
4/6/2015,1201.5,1198.5
4/7/2015,1208.5,1211
4/8/2015,1211.1,1207.25
4/9/2015,1196,1194.8
4/10/2015,1201.9,1207.35
4/13/2015,1197.85,1198.9
4/14/2015,1191.45,1194.75
4/15/2015,1189.85,1192.9
4/16/2015,1204.6,1204.35
4/17/2015,1204.55,1203.35
4/20/2015,1203.25,1196.5
4/21/2015,1197.7,1195.3
4/22/2015,1202.4,1189.25
4/23/2015,1187.75,1185.75
4/24/2015,1192.15,1183
4/27/2015,1182.75,1200
4/28/2015,1201.4,1209
4/29/2015,1204.8,1209
4/30/2015,1204.3,1180.25
5/1/2015,1179,1175.95
5/4/2015,1179,1175.95
5/5/2015,1187.4,1197
5/6/2015,1191.25,1194.25
5/7/2015,1183,1187
5/8/2015,1185.25,1186
5/11/2015,1184.75,1189.25
5/12/2015,1184.45,1191.5
5/13/2015,1193,1210.5
5/14/2015,1214.75,1225
5/15/2015,1216.3,1220.5
5/18/2015,1228.15,1223.5
5/19/2015,1219.65,1214.3
5/20/2015,1206.75,1210.5
5/21/2015,1209.6,1205
5/22/2015,1211,1204.1
5/25/2015,1211,1204.1
5/26/2015,1194,1185.4
5/27/2015,1187.85,1185.85
5/28/2015,1189.45,1185
5/29/2015,1190.4,1191.4
6/1/2015,1187.3,1199.9
6/2/2015,1188.75,1192.8
6/3/2015,1186.6,1190
6/4/2015,1182.45,1176
6/5/2015,1175.9,1164.6
6/8/2015,1173.4,1172.8
6/9/2015,1181,1177.4
6/10/2015,1186,1188.5
6/11/2015,1180.5,1178.5
6/12/2015,1179.25,1182.8
6/15/2015,1178.25,1181.4
6/16/2015,1182.1,1177.75
6/17/2015,1178.5,1178
6/18/2015,1198,1201.85
6/19/2015,1198.15,1203.4
6/22/2015,1193.7,1185.5
6/23/2015,1183.35,1178
6/24/2015,1175.75,1173.75
6/25/2015,1174.6,1172.65
6/26/2015,1174.4,1170.5
6/29/2015,1176.5,1176
6/30/2015,1175,1171
7/1/2015,1171.7,1168
7/2/2015,1164.3,1165.25
7/3/2015,1168.25,1167.95
7/6/2015,1164.25,1166
7/7/2015,1166.25,1156.25
7/8/2015,1154.25,1158.5
7/9/2015,1162.1,1164.25
7/10/2015,1162.4,1159.3
7/13/2015,1154.95,1154
7/14/2015,1153.2,1157.4
7/15/2015,1154.75,1147.4
7/16/2015,1145.1,1144.4
7/17/2015,1143,1132.8
7/20/2015,1115,1104.6
7/21/2015,1108,1105.6
7/22/2015,1096.8,1088.6
7/23/2015,1101.65,1097.4
7/24/2015,1083.75,1080.8
7/27/2015,1098.6,1100
7/28/2015,1095.6,1096.2
7/29/2015,1096.75,1090.25
7/30/2015,1085.65,1087.5
7/31/2015,1080.05,1098.4
8/3/2015,1093,1091.9
8/4/2015,1092.6,1090.65
8/5/2015,1086.5,1085.1
8/6/2015,1085,1089.75
8/7/2015,1091.35,1093.5
8/10/2015,1094.8,1097
8/11/2015,1113.25,1108.25
8/12/2015,1116.8,1119
8/13/2015,1117.35,1116.75
8/14/2015,1116.75,1118.25
8/17/2015,1117.3,1118.8
8/18/2015,1119.15,1111.45
8/19/2015,1123.2,1126.15
8/20/2015,1137.95,1147.7
8/21/2015,1149.35,1156.5
8/24/2015,1153.5,1166.5
8/25/2015,1154.25,1137.5
8/26/2015,1134.4,1120.75
8/27/2015,1128.5,1119
8/28/2015,1125.5,1135
8/31/2015,1125.5,1135
9/1/2015,1141.9,1142.3
9/2/2015,1140,1137.75
9/3/2015,1130.05,1128
9/4/2015,1125,1118.25
9/7/2015,1121,1119.5
9/8/2015,1120.85,1121.15
9/9/2015,1122.3,1109.85
9/10/2015,1107.75,1109.5
9/11/2015,1106.35,1100.25
9/14/2015,1108,1104.8
9/15/2015,1105.5,1105.95
9/16/2015,1109.75,1117.6
9/17/2015,1118.15,1117.5
9/18/2015,1136,1141.5
9/21/2015,1136.85,1133.25
9/22/2015,1129.3,1122.9
9/23/2015,1124.6,1131.35
9/24/2015,1134.45,1154.5
9/25/2015,1145.5,1146.65
9/28/2015,1137.5,1131.05
9/29/2015,1124.6,1132.1
9/30/2015,1122.5,1114
10/1/2015,1114.2,1119
10/2/2015,1106.3,1140.75
10/5/2015,1134.35,1139.75
10/6/2015,1136.9,1147.5
10/7/2015,1147.9,1144.6
10/8/2015,1143.3,1140
10/9/2015,1151.5,1151.55
10/12/2015,1164.2,1164.9
10/13/2015,1154.4,1165.2
10/14/2015,1173.7,1173.9
10/15/2015,1183.35,1184.25
10/16/2015,1176.35,1180.85
10/19/2015,1171.65,1175.4
10/20/2015,1173.7,1177.75
10/21/2015,1174.4,1167.1
10/22/2015,1166.45,1167
10/23/2015,1171.55,1161.25
10/26/2015,1168.5,1166.4
10/27/2015,1165.75,1165.7
10/28/2015,1171.5,1179.6
10/29/2015,1159,1148.6
10/30/2015,1147.75,1142.35
11/2/2015,1135.8,1134
11/3/2015,1130.9,1123.1
11/4/2015,1118,1114.7
11/5/2015,1107.3,1106.3
11/6/2015,1107.7,1088.9
11/9/2015,1095.6,1089.6
11/10/2015,1092.5,1087.1
11/11/2015,1088.6,1085.9
11/12/2015,1087.6,1087.4
11/13/2015,1083.75,1081.5
11/16/2015,1094.5,1084.75
11/17/2015,1080.8,1079.2
11/18/2015,1070.5,1067.75
11/19/2015,1073.1,1082.6
11/20/2015,1085.15,1081.75
11/23/2015,1068.35,1070.5
11/24/2015,1073,1076.4
11/25/2015,1072.2,1068
11/26/2015,1070.5,1071
11/27/2015,1064.65,1057.4
11/30/2015,1055.65,1061.9
12/1/2015,1069.25,1065.4
12/2/2015,1066.9,1055.4
12/3/2015,1050.6,1055.45
12/4/2015,1063,1079.25
12/7/2015,1082.7,1075.8
12/8/2015,1071.75,1072.1
12/9/2015,1078.4,1081
12/10/2015,1072,1071
12/11/2015,1067.2,1072.5
12/14/2015,1068,1068.25
12/15/2015,1069.15,1061.5
12/16/2015,1065.75,1075.25
12/17/2015,1065.85,1049.4
12/18/2015,1055.25,1062.5
12/21/2015,1071.15,1078.75
12/22/2015,1077,1074.9
12/23/2015,1071.5,1068.25
12/24/2015,1071.9,1068.25
12/25/2015,1071.9,1068.25
12/28/2015,1071.9,1068.25
12/29/2015,1067.25,1070.1
12/30/2015,1067.8,1060
12/31/2015,1062.25,1060
1/1/2016,1062.25,1060
1/4/2016,1072.7,1082.25
1/5/2016,1078,1077
1/6/2016,1083.85,1091.4
1/7/2016,1096,1106.35
1/8/2016,1097.45,1101.85
1/11/2016,1104.7,1100.75
1/12/2016,1094.85,1085.4
1/13/2016,1081.8,1088.15
1/14/2016,1090.75,1088.4
