Effective date ,S&P GSCI Gold 12 Month Forward
10/30/2015,83.26
11/2/2015,82.86
11/3/2015,81.28
11/4/2015,80.71
11/5/2015,80.58
11/6/2015,79.43
11/9/2015,79.48
11/10/2015,79.52
11/11/2015,79.24
11/12/2015,78.97
11/13/2015,78.97
11/16/2015,79.17
11/17/2015,78.06
11/18/2015,78.06
11/19/2015,78.72
11/20/2015,78.59
11/23/2015,77.89
11/24/2015,78.39
11/25/2015,78.14
11/27/2015,77.15
11/30/2015,77.84
12/1/2015,77.7
12/2/2015,76.99
12/3/2015,77.55
12/4/2015,79.2
12/7/2015,78.55
12/8/2015,78.56
12/9/2015,78.64
12/10/2015,78.3
12/11/2015,78.56
12/14/2015,77.66
12/15/2015,77.54
12/16/2015,78.66
12/17/2015,76.69
12/18/2015,77.81
12/21/2015,78.96
12/22/2015,78.48
12/23/2015,78.05
12/24/2015,78.61
12/28/2015,78.04
12/29/2015,78.03
12/30/2015,77.42
12/31/2015,77.44
1/4/2016,78.52
1/5/2016,78.74
1/6/2016,79.73
1/7/2016,80.87
1/8/2016,80.15
1/11/2016,79.99
1/12/2016,79.18
1/13/2016,79.34
1/14/2016,78.33
1/15/2016,79.54
1/19/2016,79.41
1/20/2016,80.63
1/21/2016,80.03
1/22/2016,79.94
1/25/2016,80.65
1/26/2016,81.73
1/27/2016,81.45
1/28/2016,81.42
1/29/2016,81.39
2/1/2016,82.23
2/2/2016,82.16
2/3/2016,83.18
2/4/2016,84.39
2/5/2016,84.4
2/8/2016,87.32
2/9/2016,87.35
2/10/2016,87.06
2/11/2016,90.89
2/12/2016,90.25
2/16/2016,87.98
2/17/2016,88.25
2/18/2016,89.36
2/19/2016,89.69
2/22/2016,88.18
2/23/2016,89.1
2/24/2016,90.32
2/25/2016,90.31
2/26/2016,88.99
2/29/2016,90.03
3/1/2016,89.78
3/2/2016,90.59
3/3/2016,91.83
3/4/2016,92.76
3/7/2016,92.31
3/8/2016,92.25
3/9/2016,91.86
3/10/2016,93.02
3/11/2016,92.09
3/14/2016,91.06
3/15/2016,90.03
3/16/2016,89.96
3/17/2016,92.49
3/18/2016,91.69
3/21/2016,91.01
3/22/2016,91.4
3/23/2016,89.6
3/24/2016,89.48
3/28/2016,89.37
3/29/2016,90.51
3/30/2016,89.85
3/31/2016,90.35
4/1/2016,89.47
4/4/2016,89.16
4/5/2016,89.9
4/6/2016,89.47
4/7/2016,90.48
4/8/2016,90.96
4/11/2016,92.04
4/12/2016,92.28
4/13/2016,91.37
4/14/2016,89.77
4/15/2016,90.36
4/18/2016,90.4
4/19/2016,91.83
4/20/2016,91.86
4/21/2016,91.58
4/22/2016,90.09
4/25/2016,90.83
4/26/2016,91.07
4/27/2016,91.6
4/28/2016,92.77
4/29/2016,94.56
5/2/2016,94.99
5/3/2016,94.66
5/4/2016,93.38
