Pricing Date,823 | Share Price (Daily)(HK$),823 | Volume (Daily)
2/1/2015,,
2/2/2015,52.7,2361801
2/3/2015,51.95,4337828
2/4/2015,52.55,3715185
2/5/2015,53.05,2408133
2/6/2015,52.7,2360632
2/7/2015,,
2/8/2015,,
2/9/2015,52.1,2424566
2/10/2015,51.65,3598955
2/11/2015,50.7,5264455
2/12/2015,50.15,5864580
2/13/2015,50.45,6994316
2/14/2015,,
2/15/2015,,
2/16/2015,50.25,3904533
2/17/2015,49.7,6940460
2/18/2015,50.15,4126773
2/19/2015,,
2/20/2015,,
2/21/2015,,
2/22/2015,,
2/23/2015,49.45,5588813
2/24/2015,49.55,4756999
2/25/2015,50.15,6451742
2/26/2015,49.6,5733224
2/27/2015,49.5,7709733
2/28/2015,,
3/1/2015,,
3/2/2015,49.6,4361706
3/3/2015,50,8911755
3/4/2015,49.15,4449819
3/5/2015,48.45,7141082
3/6/2015,48.65,5286148
3/7/2015,,
3/8/2015,,
3/9/2015,47.9,6115259
3/10/2015,46.95,9952715
3/11/2015,47.8,5668244
3/12/2015,47.55,4352515
3/13/2015,47.35,4039250
3/14/2015,,
3/15/2015,,
3/16/2015,47,4201956
3/17/2015,47,4377699
3/18/2015,46.6,6896836
3/19/2015,49,8100585
3/20/2015,47.75,8171891
3/21/2015,,
3/22/2015,,
3/23/2015,47.3,4791950
3/24/2015,47.3,6011134
3/25/2015,48,5218113
3/26/2015,48.3,3954535
3/27/2015,48.65,3148122
3/28/2015,,
3/29/2015,,
3/30/2015,48,6183586
3/31/2015,47.8,8772190
4/1/2015,48.45,3405839
4/2/2015,48.65,3031150
4/3/2015,,
4/4/2015,,
4/5/2015,,
4/6/2015,,
4/7/2015,,
4/8/2015,49.15,6446579
4/9/2015,49.05,8027277
4/10/2015,49.7,6742157
4/11/2015,,
4/12/2015,,
4/13/2015,47.8,14968930
4/14/2015,47.4,12015770
4/15/2015,47.45,5626360
4/16/2015,47.4,4811424
4/17/2015,47.05,7064969
4/18/2015,,
4/19/2015,,
4/20/2015,46.8,7496589
4/21/2015,47,6824128
4/22/2015,47,5266530
4/23/2015,46.65,9192676
4/24/2015,47.15,4633829
4/25/2015,,
4/26/2015,,
4/27/2015,47.05,7825007
4/28/2015,47.15,5771471
4/29/2015,46.9,5682155
4/30/2015,48.15,9027727
5/1/2015,,
5/2/2015,,
5/3/2015,,
5/4/2015,48.75,5180146
5/5/2015,48.05,3218003
5/6/2015,47.9,3956854
5/7/2015,46.65,9020767
5/8/2015,47.1,3225141
5/9/2015,,
5/10/2015,,
5/11/2015,47.05,2825112
5/12/2015,46.15,7100098
5/13/2015,46.05,4607176
5/14/2015,45.75,3870428
5/15/2015,47.05,5847408
5/16/2015,,
5/17/2015,,
5/18/2015,47.15,4431498
5/19/2015,47.05,2979745
5/20/2015,46.7,5566626
5/21/2015,46.5,3732737
5/22/2015,46.15,11638140
5/23/2015,,
5/24/2015,,
5/25/2015,,
5/26/2015,45.85,11405040
5/27/2015,45.9,5291134
5/28/2015,44.8,15369200
5/29/2015,45,22528230
5/30/2015,,
5/31/2015,,
6/1/2015,45.4,12901180
6/2/2015,45.55,4990160
6/3/2015,45.7,3807117
6/4/2015,46.05,9298712
6/5/2015,45.75,4051492
6/6/2015,,
6/7/2015,,
6/8/2015,45,9611297
6/9/2015,45.4,5918742
6/10/2015,45.15,8658940
6/11/2015,45.9,6528160
6/12/2015,46.25,5045922
6/13/2015,,
6/14/2015,,
6/15/2015,45.9,4664889
6/16/2015,46.4,4276975
6/17/2015,46.7,4275837
6/18/2015,47.55,6741384
6/19/2015,48.2,10911710
6/20/2015,,
6/21/2015,,
6/22/2015,48.5,5425964
6/23/2015,46.4,12020830
6/24/2015,46.7,3800272
6/25/2015,46.4,4930531
6/26/2015,46.25,4644814
6/27/2015,,
6/28/2015,,
6/29/2015,45.5,7708530
6/30/2015,45.4,6690408
7/1/2015,,
7/2/2015,45.3,6462971
7/3/2015,45.8,3830351
7/4/2015,,
7/5/2015,,
7/6/2015,45.55,5993623
7/7/2015,45.9,5041927
7/8/2015,45.1,13309800
7/9/2015,44.25,11679370
7/10/2015,44.7,10226020
7/11/2015,,
7/12/2015,,
7/13/2015,45.2,6035437
7/14/2015,45.1,4972000
7/15/2015,45.4,4959603
7/16/2015,45.65,1956982
7/17/2015,46.25,4268592
7/18/2015,,
7/19/2015,,
7/20/2015,45.9,2055323
7/21/2015,45.85,2490475
7/22/2015,46.1,5135985
7/23/2015,45.9,3168073
7/24/2015,45.45,4524193
7/25/2015,,
7/26/2015,,
7/27/2015,44.85,8676225
7/28/2015,45.65,8337218
7/29/2015,45.45,4535004
7/30/2015,44.95,5540249
7/31/2015,45.6,7341783
8/1/2015,,
8/2/2015,,
8/3/2015,44.85,6865750
8/4/2015,44.85,2660833
8/5/2015,45.15,3901015
8/6/2015,44.8,2015025
8/7/2015,44.85,2889919
8/8/2015,,
8/9/2015,,
8/10/2015,44.25,6530651
8/11/2015,44.2,5225379
8/12/2015,44.3,6098827
8/13/2015,44.05,5159517
8/14/2015,43.35,10220840
8/15/2015,,
8/16/2015,,
8/17/2015,42.9,5309748
8/18/2015,42.8,7274281
8/19/2015,42.55,7161742
8/20/2015,41.7,8530834
8/21/2015,42.75,10042450
8/22/2015,,
8/23/2015,,
8/24/2015,42,10683630
8/25/2015,42.1,10223340
8/26/2015,41.4,7067631
8/27/2015,42.2,7612035
8/28/2015,41.7,5398708
8/29/2015,,
8/30/2015,,
8/31/2015,41.1,5781668
