Month,ACTIVE_MAIN_BUS,NEW_REG_MAIN_BUS
201903,1517751,12404
201904,1523195,16666
201905,1529629,17079
201906,1530384,14256
201907,1531937,14881
201908,1531219,13218
201909,1529361,11550
201910,1528745,12100
201911,1529635,12262
201912,1530048,11429
202001,1528089,10317
202002,1532128,6373
202003,1537116,11523
202004,1537000,11933
202005,1539165,12476
202006,1543690,12402
202007,1542801,12033
202008,1549875,10702
202009,1550775,12226
202010,1549788,10810
202011,1550983,11600
202012,1554298,10670
202101,1560847,12703
202102,1549982,8513
202103,1550148,14539
202104,1547419,12953
202105,1550632,12221
202106,1550849,13217
202107,1548362,13271
202108,1546371,11673
202109,1542184,11737
202110,1542025,10550
202111,1544062,12307
202112,1545287,12718
202201,1544671,10920
202202,1545261,7455
202203,1547595,11197
202204,1550737,12369
202205,1554104,12146
202206,1551654,12859
202207,1556009,12699
202208,1559357,12364
202209,1561034,11825
202210,1560714,11455
202211,1564462,12714
202212,1565354,11352
202301,1564082,8313
202302,1562928,13460
202303,1583296,30709
202304,1588168,15332
202305,1589547,11337
202306,1590789,12413
202307,1588406,11837
202308,1588854,12467
202309,1589302,12156
202310,1584949,10815
202311,1585292,13150
202312,1585721,12020
202401,1587450,12588
202402,1578619,8129
202403,1577907,15495
202404,1576889,13149
202405,1579564,15373
202406,1580230,13984
202407,1580017,15076
202408,1575333,15070
202409,1574259,13384
202410,1574431,15081
202411,1578590,16481
202412,1583802,14429
202501,1585520,14115
202502,1588258,13080
202503,1591678,18435
202504,1598085,16982
202505,1604714,17497
202506,1608552,16532
202507,1609309,18548
202508,1611906,18475
202509,1620700,18022
202510,1629791,19734
202511,1642623,25353
