Month,Consideration,Residential_Cases,Residential_StampDuty,NonResidential_Cases,NonResidential_StampDuty
202002,"$20,000,001 or above",122,345.4,33,134.5
202003,"$20,000,001 or above",174,357.9,49,247.3
202004,"$20,000,001 or above",137,320,27,180.7
202005,"$20,000,001 or above",328,752.1,40,150
202006,"$20,000,001 or above",289,659.5,41,219.5
202007,"$20,000,001 or above",301,624.6,43,218.3
202008,"$20,000,001 or above",187,624.4,38,152.1
202009,"$20,000,001 or above",211,1072.9,50,177.6
202010,"$20,000,001 or above",194,628.5,41,145.7
202011,"$20,000,001 or above",214,655.8,52,380.1
202012,"$20,000,001 or above",210,445.9,86,234.5
202101,"$20,000,001 or above",181,407.3,89,236.6
202102,"$20,000,001 or above",258,465.3,66,141.7
202103,"$20,000,001 or above",464,1024.3,92,182.7
202104,"$20,000,001 or above",379,986.6,104,281
202105,"$20,000,001 or above",665,1430.3,109,233.9
202106,"$20,000,001 or above",556,1080.2,131,292.2
202107,"$20,000,001 or above",456,1036.2,104,357.2
202108,"$20,000,001 or above",295,699.4,105,380.5
202109,"$20,000,001 or above",459,1267.5,128,387
202110,"$20,000,001 or above",310,949.9,74,215.5
202111,"$20,000,001 or above",247,735.9,85,232.9
202112,"$20,000,001 or above",298,1212.2,99,214.5
202201,"$20,000,001 or above",216,544.8,112,328.1
202202,"$20,000,001 or above",160,436.2,62,137.2
202203,"$20,000,001 or above",111,261,51,209.1
202204,"$20,000,001 or above",166,320.8,62,131.4
202205,"$20,000,001 or above",230,676.2,54,130.1
202206,"$20,000,001 or above",158,407,72,265.1
202207,"$20,000,001 or above",125,407.1,60,124.7
202208,"$20,000,001 or above",125,277.5,68,230.2
202209,"$20,000,001 or above",116,291.5,55,162.3
202210,"$20,000,001 or above",85,182.3,43,77.3
202211,"$20,000,001 or above",96,221.8,44,101
202212,"$20,000,001 or above",93,387,41,333.6
202301,"$20,000,001 or above",130,377.2,46,109
202302,"$20,000,001 or above",210,535,53,98.6
202303,"$20,000,001 or above",319,733.7,73,205.9
202304,"$20,000,001 or above",257,615.4,47,92.7
202305,"$20,000,001 or above",203,649.1,61,114.9
202306,"$20,000,001 or above",187,614,51,123.1
202307,"$20,000,001 or above",137,375,39,80.1
202308,"$20,000,001 or above",109,254,43,106.9
202309,"$20,000,001 or above",83,246.7,28,82.4
202310,"$20,000,001 or above",104,262.5,28,77.3
202311,"$20,000,001 or above",104,213.5,30,316.5
202312,"$20,000,001 or above",120,262.1,23,62.5
202401,"$20,000,001 or above",127,357.3,21,36
202402,"$20,000,001 or above",95,297.2,24,44.1
202403,"$20,000,001 or above",247,464.1,17,194.1
202404,"$20,000,001 or above",611,977.6,46,139.7
202405,"$20,000,001 or above",340,624.1,50,122.7
202406,"$20,000,001 or above",196,412.7,32,49.7
202407,"$20,000,001 or above",184,482.1,39,117.1
202408,"$20,000,001 or above",121,335.5,25,75.3
202409,"$20,000,001 or above",129,289.1,38,142.3
202410,"$20,000,001 or above",290,640.1,31,105
202411,"$20,000,001 or above",346,690,58,199.3
202412,"$20,000,001 or above",207,360.8,52,124.4
202501,"$20,000,001 or above",153,288.5,52,258.2
202502,"$20,000,001 or above",140,275.8,29,90.4
202503,"$20,000,001 or above",212,404.7,36,86.4
202504,"$20,000,001 or above",257,478.8,43,88.8
202505,"$20,000,001 or above",200,402.2,24,305.1
202506,"$20,000,001 or above",277,597.6,32,81.4
202507,"$20,000,001 or above",288,529.4,26,88.6
202508,"$20,000,001 or above",254,451.9,22,59.4
202509,"$20,000,001 or above",387,729.1,43,125.3
202510,"$20,000,001 or above",357,744.7,35,434.3
202511,"$20,000,001 or above",335,652.1,31,128.8
