,date,GTBCPS_price,U-DAI_price
0,2019-11-22,1.000078903,0.997358301
1,2019-11-29,1.000067322,1.004977601
2,2019-12-06,1.00008123,1.008434794
3,2019-12-13,1.000128319,1.005864479
4,2019-12-20,1.00015304,1.007566516
5,2019-12-27,1.000065542,1.004724332
6,2020-01-03,1.000040856,0.99867823
7,2020-01-10,1.000093623,1.005279616
8,2020-01-17,1.000028939,0.985124847
9,2020-01-24,1.000080745,0.990997409
10,2020-01-31,1.000094111,1.016811848
11,2020-02-07,1.000128074,1.001156279
12,2020-02-14,1.000106893,0.994334076
13,2020-02-21,1.000074559,0.988154667
14,2020-02-28,1.000092939,0.997300761
15,2020-03-06,1.000011113,1.008486875
16,2020-03-13,1.000054528,1.033869507
17,2020-03-20,0.999995078,1.022813468
18,2020-03-27,1.000070561,1.015895098
19,2020-04-03,1.000039986,1.018920077
20,2020-04-17,0.999995833,1.02404112
21,2020-04-24,0.999801653,0.999740543
22,2020-05-08,0.999885413,1.008745513
23,2020-05-15,0.999975404,1.008704728
24,2020-05-22,1.000018416,0.996699699
25,2020-05-29,1.000037221,1.013117826
26,2020-06-05,0.999903896,1.005340332
27,2020-06-12,0.999779695,1.005563325
28,2020-06-19,0.999691912,1.005974321
29,2020-06-26,0.999669519,0.999083739
30,2020-07-10,0.999653587,1.016825095
31,2020-07-17,0.999461644,1.00725761
32,2020-07-24,0.999479754,1.030040394
33,2020-07-31,0.999449872,1.034859994
34,2020-08-07,0.999439909,1.020236075
35,2020-08-14,0.999395145,1.02839234
36,2020-08-21,0.999383394,1.008131803
37,2020-08-28,0.999337014,1.009442595
38,2020-09-04,0.999352625,1.027518407
39,2020-09-11,0.99934368,1.04233749
40,2020-09-18,0.999386936,1.020146431
41,2020-09-25,0.999426187,1.0108705
42,2020-10-09,0.999437972,1.00926077
43,2020-10-16,0.99946851,1.01188148
44,2020-10-23,0.999480114,1.00833781
45,2020-10-30,0.999465521,1.01168121
46,2020-11-06,0.999468134,1.00740352
47,2020-11-13,0.999539444,1.00525762
48,2020-11-20,0.999541658,1.00145545
49,2020-11-27,0.999543604,1.00419543
50,2020-12-04,0.999627278,1.00370613
51,2020-12-11,0.999623689,1.00416876
52,2020-12-18,0.999801911,1.00207102
53,2021-01-08,0.999669294,0.99977421
54,2021-01-15,0.999590663,1.00196409
55,2021-01-22,0.999599148,1.00063347
56,2021-01-29,0.999491396,1.00024098
57,2021-02-05,0.999565144,1.00047221
58,2021-02-19,0.999688014,1.00097127
59,2021-02-26,0.999618246,1.00111312
60,2021-03-05,0.999560105,1.001459
61,2021-03-12,0.99949386,1.00090684
62,2021-03-26,0.999372394,1.0024355
63,2021-04-09,0.999446483,1.0060879
64,2021-04-16,0.999507632,1.00140026
65,2021-04-23,0.999436883,0.99913911
66,2021-04-30,0.999391377,1.00009935
67,2021-05-07,0.999507608,0.99998799
68,2021-05-14,0.999537296,1.00038412
69,2021-05-21,0.999514682,1.00111396
70,2021-05-28,0.999545466,1.00052435
71,2021-06-04,0.999582383,1.00167163
72,2021-06-11,0.999618699,1.00127626
73,2021-06-18,0.99955651,1.00148175
74,2021-06-25,0.999554343,1.00072212
75,2021-07-02,0.999554015,1.00042316
76,2021-07-09,0.999599666,1.0000412
77,2021-07-16,0.999591933,1.00104874
78,2021-07-23,0.999574692,1.00205484
79,2021-07-30,0.999612643,1.00129938
80,2021-08-06,0.999611299,1.00052827
81,2021-08-13,0.999641014,1.0013604
82,2021-08-20,0.999650867,1.00140443
83,2021-08-27,0.999641995,1.00021744
84,2021-09-03,0.999602006,1.00008265
85,2021-09-10,0.999647369,1.00027619
86,2021-09-17,0.999697653,1.000451227
87,2021-09-24,0.999745315,1.000615134
88,2021-10-08,0.999769669,1.000284309
89,2021-10-15,0.999769769,1.000441888
90,2021-10-22,0.999736501,0.999577748
91,2021-10-29,0.99972024,1.000994574
92,2021-11-05,0.999709055,1.000064973
93,2021-11-12,0.999695696,1.005246715
94,2021-11-19,0.999717059,0.996523496
95,2021-11-26,0.999670319,1.004083536
96,2021-12-03,0.999593381,0.997948054
97,2021-12-10,0.999539141,0.997351499
98,2021-12-17,0.999539604,0.998482023
99,2021-12-31,0.999608206,1.000620287
100,2022-01-07,0.999545652,0.99938452
101,2022-01-14,0.999579656,0.998986763
102,2022-01-21,0.999571307,0.999691441
103,2022-01-28,0.999561807,1.000364224
104,2022-02-04,0.99955758,1.000122365
105,2022-02-11,0.999563028,0.999060338
106,2022-02-18,0.999542897,0.999093345
107,2022-02-25,0.999540799,1.00029523
108,2022-03-04,0.999519929,0.999845435
109,2022-03-11,0.999532673,1.000087264
110,2022-03-18,0.9994214,0.999561169
111,2022-03-25,0.999471046,0.999541267
112,2022-04-01,0.999495987,0.999957464
113,2022-04-08,0.99948222,0.999698354
114,2022-04-22,0.999453492,0.999572909
115,2022-04-29,0.999437314,0.999718778
116,2022-05-06,0.999395292,0.999708373
117,2022-05-13,0.999416652,1.001066663
118,2022-05-20,0.999418165,1.001198002
119,2022-05-27,0.999485326,0.999655309
120,2022-06-10,0.999513605,0.999970901
121,2022-06-17,0.999525446,1.000126587
122,2022-06-24,0.999518822,1.000490617
123,2022-07-08,0.999603321,1.000415752
124,2022-07-15,0.999593075,0.999726177
125,2022-07-22,0.999442013,1.000001743
126,2022-07-29,0.999346269,0.999056539
127,2022-08-05,0.999288023,1.000095944
128,2022-08-12,0.999305991,0.999523406
129,2022-08-19,0.999386323,0.998533927
130,2022-08-26,0.999427595,1.000265631
131,2022-09-02,0.999391988,0.99976745
132,2022-09-09,0.999401988,1.000100595
133,2022-09-16,0.99937442,0.999801668
134,2022-09-23,0.999430805,0.999492603
135,2022-09-30,0.999446188,0.999889438
136,2022-10-07,0.999433985,0.999578711
137,2022-10-14,0.999415939,0.999656539
138,2022-10-21,0.999513795,0.99969116
139,2022-10-28,0.999473724,0.999721707
140,2022-11-04,0.999436721,1.000162806
141,2022-11-18,0.999363479,1.000266176
142,2022-11-25,0.999284493,1.000292489
143,2022-12-02,0.999319961,0.999729101
144,2022-12-09,0.999271007,0.999923205
145,2022-12-16,0.999308022,0.999604958
146,2022-12-23,0.999378398,1.000011512
147,2022-12-30,0.999371034,1.000167285
148,2023-01-06,0.999422266,0.999392801
149,2023-01-13,0.999303642,1.000058857
150,2023-01-20,0.999259724,1.000310538
151,2023-01-27,0.999218373,0.999879538
152,2023-02-03,0.999259266,0.998877159
153,2023-02-10,0.999178139,0.999414393
154,2023-02-17,0.999079644,0.998532317
155,2023-02-24,0.999063398,0.999860431
156,2023-03-03,0.998982397,0.999610485
157,2023-03-10,0.999035509,0.999900709
158,2023-03-17,0.999051644,0.999584185
159,2023-03-24,0.999066639,0.998674662
160,2023-03-31,0.999107603,1.000186254
161,2023-04-14,0.998966063,1.000073492
162,2023-04-21,0.998950665,0.999080671
163,2023-04-28,0.999010339,0.999661885
164,2023-05-05,0.998943132,0.999866138
165,2023-05-12,0.998932838,1.000207842
166,2023-05-19,0.999030755,0.99905371
167,2023-06-02,0.99915898,0.999635356
168,2023-06-09,0.999195147,0.999596121
169,2023-06-16,0.999226446,0.999806811
170,2023-06-23,0.999270193,0.999346026
171,2023-06-30,0.999286258,0.999532727
172,2023-07-07,0.999324947,0.998535708
173,2023-07-14,0.999343749,1.000732746
174,2023-07-21,0.999292482,0.999504593
175,2023-07-28,0.999330979,0.999575769
176,2023-08-04,0.999340632,0.999367821
177,2023-08-11,0.999348093,1.000016415
178,2023-08-18,0.999332805,0.999577276
179,2023-08-25,0.999334574,1.000100407
180,2023-09-15,0.999269588,0.999763173
181,2023-09-22,0.999315271,0.999370271
182,2023-09-29,0.999276516,1.000285378
183,2023-10-06,0.999306394,0.99933256
184,2023-10-13,0.999325506,1.000042015
185,2023-10-20,0.999342305,1.000085089
186,2023-10-27,0.999343077,0.999937618
187,2023-11-03,0.999315814,1.000112085
188,2023-11-10,0.999217988,1.000365259
189,2023-11-17,0.999279399,0.999823101
190,2023-11-24,0.999294377,0.99974569
191,2023-12-01,0.999273788,1.000124209
192,2023-12-08,0.999265293,0.999973353
193,2023-12-15,0.999210072,1.000184941
194,2023-12-22,0.999249433,1.00010464
195,2023-12-29,0.999297274,0.999811446
196,2024-01-05,0.999316582,0.999844816
197,2024-01-12,0.999303573,0.999936448
198,2024-01-19,0.999261432,0.999903093
199,2024-01-26,0.999233325,1.000390656
200,2024-02-02,0.999260545,1.000194168
201,2024-02-09,0.999248239,1.000028581
202,2024-02-16,0.999185341,1.000085804
203,2024-02-23,0.999071245,0.999726536
204,2024-03-01,0.999070921,0.99978434
205,2024-03-08,0.999113961,1.000008461
206,2024-03-15,0.999041854,0.999822213
207,2024-03-22,0.998980736,1.000165309
208,2024-04-05,0.998960161,1.000031853
209,2024-04-12,0.998944036,1.000086917
210,2024-04-19,0.998970308,1.000028756
211,2024-04-26,0.998990257,0.999965888
212,2024-05-03,0.9990226,1.00013974
213,2024-05-10,0.998965662,1.00007248
214,2024-05-17,0.999023011,0.999908908
215,2024-05-24,0.998987885,0.999822186
216,2024-05-31,0.998994244,1.000108096
217,2024-06-07,0.999007761,0.999750241
218,2024-06-14,0.999002793,0.999822024
219,2024-06-21,0.999020364,0.9999605
220,2024-06-28,0.998936726,0.999763012
221,2024-07-05,0.998952915,1.000062603
222,2024-07-12,0.998962044,0.999966318
223,2024-07-19,0.998910078,0.999973737
224,2024-07-26,0.998933374,0.999799242
225,2024-08-02,0.998972501,0.999829191
226,2024-08-09,0.998957358,0.999932153
227,2024-08-16,0.998965857,0.999801316
228,2024-08-23,0.998905022,0.999949642
229,2024-08-30,0.998843402,0.999991769
230,2024-09-13,0.99893072,1.000059406
231,2024-09-20,0.998966385,1.000094347
232,2024-09-27,0.998972728,1.000095134
233,2024-10-04,0.998908694,0.9998835
